event_peak_ts,event_peak_cpi,entry_signal_ts,exit_signal_ts,exit_reason,symbol,entry_bar_ts,exit_bar_ts,entry_px,exit_px,gross_pnl_pct,costs_pct,pnl_pct,hold_hours,btc_ret
2025-11-08 14:28:00,0.9646954536437988,2025-11-08 14:33:00,2025-11-08 15:38:00,vdv30_zero,SOL,2025-11-08 14:00:00,2025-11-08 15:00:00,157.62,156.61,-0.006407816266971139,0.0013,-0.007707816266971139,1.0,-0.001063012471238705
2025-11-09 01:15:00,0.8862809538841248,2025-11-09 01:22:00,2025-11-09 02:22:00,cpi_regime_flip,ETH,2025-11-09 01:00:00,2025-11-09 02:00:00,3399.21,3366.56,-0.009605172966659928,0.0013,-0.010905172966659927,1.0,-0.003977630363722257
2025-11-09 01:15:00,0.8862809538841248,2025-11-09 01:22:00,2025-11-09 02:22:00,cpi_regime_flip,SOL,2025-11-09 01:00:00,2025-11-09 02:00:00,158.09,155.95,-0.013536593079891295,0.0013,-0.014836593079891294,1.0,-0.003977630363722257
2025-11-09 02:54:00,0.9335237741470337,2025-11-09 03:08:00,2025-11-09 04:09:00,vdv30_zero,ETH,2025-11-09 03:00:00,2025-11-09 04:00:00,3374.82,3373.08,-0.0005155830533184692,0.0013,-0.0018155830533184692,1.0,0.0005008713587194298
2025-11-09 02:54:00,0.9335237741470337,2025-11-09 03:08:00,2025-11-09 04:09:00,vdv30_zero,SOL,2025-11-09 03:00:00,2025-11-09 04:00:00,155.82,157.13,0.008407136439481468,0.0013,0.007107136439481468,1.0,0.0005008713587194298
2025-11-13 01:39:00,0.8916404843330383,2025-11-13 01:52:00,2025-11-13 02:57:00,cpi_regime_flip,ETH,2025-11-13 01:00:00,2025-11-13 02:00:00,3422.76,3432.89,0.002959599855087606,0.0013,0.001659599855087606,1.0,0.0005384459214927621
2025-11-13 01:39:00,0.8916404843330383,2025-11-13 01:52:00,2025-11-13 02:57:00,cpi_regime_flip,SOL,2025-11-13 01:00:00,2025-11-13 02:00:00,152.67,152.82,0.0009825112988799745,0.0013,-0.0003174887011200254,1.0,0.0005384459214927621
2025-11-13 17:21:00,0.9402141571044922,2025-11-13 17:23:00,2025-11-13 18:29:00,vdv30_zero,ETH,2025-11-13 17:00:00,2025-11-13 18:00:00,3254.4,3212.47,-0.012884095378564494,0.0013,-0.014184095378564493,1.0,-0.010659488722046048
2025-11-13 17:21:00,0.9402141571044922,2025-11-13 17:23:00,2025-11-13 18:29:00,vdv30_zero,SOL,2025-11-13 17:00:00,2025-11-13 18:00:00,147.04,145.34,-0.01156147986942321,0.0013,-0.012861479869423209,1.0,-0.010659488722046048
2025-11-14 04:34:00,0.9642050266265869,2025-11-14 04:35:00,2025-11-14 05:41:00,vdv30_zero,ETH,2025-11-14 04:00:00,2025-11-14 05:00:00,3161.51,3191.01,0.009330984244870331,0.0013,0.00803098424487033,1.0,-0.0030453104979359063
2025-11-14 04:34:00,0.9642050266265869,2025-11-14 04:35:00,2025-11-14 05:41:00,vdv30_zero,SOL,2025-11-14 04:00:00,2025-11-14 05:00:00,141.81,143.09,0.009026161765742903,0.0013,0.007726161765742903,1.0,-0.0030453104979359063
2025-11-14 07:51:00,0.8909537196159363,2025-11-14 07:57:00,2025-11-14 08:57:00,vdv30_zero,ETH,2025-11-14 07:00:00,2025-11-14 08:00:00,3213.82,3203.72,-0.0031426775612823253,0.0013,-0.004442677561282325,1.0,0.0024026801263441356
2025-11-14 07:51:00,0.8909537196159363,2025-11-14 07:57:00,2025-11-14 08:57:00,vdv30_zero,SOL,2025-11-14 07:00:00,2025-11-14 08:00:00,142.77,142.41,-0.0025215381382644366,0.0013,-0.0038215381382644366,1.0,0.0024026801263441356
2025-11-14 12:41:00,0.9488285779953003,2025-11-14 12:44:00,2025-11-14 13:44:00,vdv30_zero,ETH,2025-11-14 12:00:00,2025-11-14 13:00:00,3125.71,3120.64,-0.0016220314744490576,0.0013,-0.0029220314744490576,1.0,-0.001237844472185215
2025-11-14 12:41:00,0.9488285779953003,2025-11-14 12:44:00,2025-11-14 13:44:00,vdv30_zero,SOL,2025-11-14 12:00:00,2025-11-14 13:00:00,138.67,138.92,0.001802841277853898,0.0013,0.0005028412778538981,1.0,-0.001237844472185215
2025-11-14 20:40:00,0.906552791595459,2025-11-14 20:44:00,2025-11-14 21:56:00,vdv30_zero,ETH,2025-11-14 20:00:00,2025-11-14 21:00:00,3136.22,3165.97,0.009485941675010044,0.0013,0.008185941675010043,1.0,0.0072792532272733705
2025-11-14 20:40:00,0.906552791595459,2025-11-14 20:44:00,2025-11-14 21:56:00,vdv30_zero,SOL,2025-11-14 20:00:00,2025-11-14 21:00:00,139.55,140.59,0.007452525976352504,0.0013,0.006152525976352504,1.0,0.0072792532272733705
2025-11-14 23:05:00,0.9059425592422485,2025-11-14 23:07:00,2025-11-15 00:07:00,vdv30_zero,ETH,2025-11-14 23:00:00,2025-11-15 00:00:00,3111.2,3139.8,0.009192594497300194,0.0013,0.007892594497300193,1.0,0.00608282413964165
2025-11-14 23:05:00,0.9059425592422485,2025-11-14 23:07:00,2025-11-15 00:07:00,vdv30_zero,SOL,2025-11-14 23:00:00,2025-11-15 00:00:00,138.83,141.03,0.015846719008859672,0.0013,0.014546719008859673,1.0,0.00608282413964165
2025-11-15 01:24:00,0.8908219337463379,2025-11-15 01:27:00,2025-11-15 02:28:00,vdv30_zero,ETH,2025-11-15 01:00:00,2025-11-15 02:00:00,3172.11,3192.24,0.006345933779093302,0.0013,0.005045933779093302,1.0,0.008737985923005323
2025-11-15 01:24:00,0.8908219337463379,2025-11-15 01:27:00,2025-11-15 02:28:00,vdv30_zero,SOL,2025-11-15 01:00:00,2025-11-15 02:00:00,141.96,143.0,0.00732600732600727,0.0013,0.00602600732600727,1.0,0.008737985923005323
2025-11-16 12:33:00,0.9410481452941895,2025-11-16 12:37:00,2025-11-16 13:51:00,vdv30_zero,ETH,2025-11-16 12:00:00,2025-11-16 13:00:00,3168.55,3152.6,-0.005033848290227477,0.0013,-0.006333848290227477,1.0,-0.0035721114114279796
2025-11-16 12:33:00,0.9410481452941895,2025-11-16 12:37:00,2025-11-16 13:51:00,vdv30_zero,SOL,2025-11-16 12:00:00,2025-11-16 13:00:00,139.98,139.38,-0.004286326618088258,0.0013,-0.005586326618088258,1.0,-0.0035721114114279796
2025-11-16 16:22:00,0.9649744033813477,2025-11-16 16:25:00,2025-11-16 17:27:00,vdv30_zero,ETH,2025-11-16 16:00:00,2025-11-16 17:00:00,3059.6,3078.2,0.006079226042619921,0.0013,0.004779226042619921,1.0,0.0015140350839939719
2025-11-16 16:22:00,0.9649744033813477,2025-11-16 16:25:00,2025-11-16 17:27:00,vdv30_zero,SOL,2025-11-16 16:00:00,2025-11-16 17:00:00,135.64,135.74,0.0007372456502508312,0.0013,-0.0005627543497491687,1.0,0.0015140350839939719
2025-11-17 04:33:00,0.8931324481964111,2025-11-17 04:36:00,2025-11-17 05:36:00,vdv30_zero,ETH,2025-11-17 04:00:00,2025-11-17 05:00:00,3184.35,3185.61,0.00039568514767541834,0.0013,-0.0009043148523245816,1.0,0.00021879122058155243
2025-11-17 04:33:00,0.8931324481964111,2025-11-17 04:36:00,2025-11-17 05:36:00,vdv30_zero,SOL,2025-11-17 04:00:00,2025-11-17 05:00:00,140.31,140.55,0.0017104981825957458,0.0013,0.00041049818259574584,1.0,0.00021879122058155243
2025-11-17 12:04:00,0.9320422410964966,2025-11-17 12:14:00,2025-11-17 13:17:00,vdv30_zero,ETH,2025-11-17 12:00:00,2025-11-17 13:00:00,3182.68,3120.49,-0.019540135986024373,0.0013,-0.020840135986024372,1.0,-0.01437711080838839
2025-11-17 12:04:00,0.9320422410964966,2025-11-17 12:14:00,2025-11-17 13:17:00,vdv30_zero,SOL,2025-11-17 12:00:00,2025-11-17 13:00:00,141.73,137.96,-0.02659987299795373,0.0013,-0.02789987299795373,1.0,-0.01437711080838839
2025-11-17 13:26:00,0.9442781209945679,2025-11-17 13:36:00,2025-11-17 14:36:00,vdv30_zero,ETH,2025-11-17 13:00:00,2025-11-17 14:00:00,3120.49,3150.44,0.009597851619457289,0.0013,0.00829785161945729,1.0,0.008696300318910456
2025-11-17 13:26:00,0.9442781209945679,2025-11-17 13:36:00,2025-11-17 14:36:00,vdv30_zero,SOL,2025-11-17 13:00:00,2025-11-17 14:00:00,137.96,140.08,0.01536677297767472,0.0013,0.01406677297767472,1.0,0.008696300318910456
2025-11-19 17:15:00,0.9131937623023987,2025-11-19 17:29:00,2025-11-19 18:48:00,vdv30_zero,ETH,2025-11-19 17:00:00,2025-11-19 18:00:00,2921.19,2898.46,-0.007781075520592641,0.0013,-0.009081075520592641,1.0,-0.0027442463047689524
2025-11-19 17:15:00,0.9131937623023987,2025-11-19 17:29:00,2025-11-19 18:48:00,vdv30_zero,SOL,2025-11-19 17:00:00,2025-11-19 18:00:00,132.12,131.38,-0.00560096881622774,0.0013,-0.00690096881622774,1.0,-0.0027442463047689524
2025-11-20 16:05:00,0.9146291017532349,2025-11-20 16:08:00,2025-11-20 17:08:00,vdv30_zero,ETH,2025-11-20 16:00:00,2025-11-20 17:00:00,2861.21,2832.16,-0.010153047137399975,0.0013,-0.011453047137399974,1.0,-0.007619329467136311
2025-11-20 16:05:00,0.9146291017532349,2025-11-20 16:08:00,2025-11-20 17:08:00,vdv30_zero,SOL,2025-11-20 16:00:00,2025-11-20 17:00:00,132.54,132.69,0.0011317338162064711,0.0013,-0.00016826618379352882,1.0,-0.007619329467136311
2025-12-05 23:01:00,0.9632822275161743,2025-12-05 23:05:00,2025-12-06 00:06:00,cpi_regime_flip,ETH,2025-12-05 23:00:00,2025-12-06 00:00:00,3020.38,3024.7,0.0014302836066983984,0.0013,0.00013028360669839847,1.0,0.0010494072584935025
2025-12-05 23:01:00,0.9632822275161743,2025-12-05 23:05:00,2025-12-06 00:06:00,cpi_regime_flip,SOL,2025-12-05 23:00:00,2025-12-06 00:00:00,133.22,133.38,0.0012010208677375514,0.0013,-9.897913226244851e-05,1.0,0.0010494072584935025
2025-12-14 14:35:00,0.890385091304779,2025-12-14 14:54:00,2025-12-14 15:55:00,vdv30_zero,ETH,2025-12-14 14:00:00,2025-12-14 15:00:00,3084.43,3083.33,-0.00035662991217174945,0.0013,-0.0016566299121717493,1.0,-0.0009980454475544374
2025-12-14 14:35:00,0.890385091304779,2025-12-14 14:54:00,2025-12-14 15:55:00,vdv30_zero,SOL,2025-12-14 14:00:00,2025-12-14 15:00:00,130.82,130.6,-0.001681700045864538,0.0013,-0.002981700045864538,1.0,-0.0009980454475544374
2025-12-16 04:48:00,0.973321795463562,2025-12-16 04:50:00,2025-12-16 06:02:00,vdv30_zero,ETH,2025-12-16 04:00:00,2025-12-16 06:00:00,2916.79,2944.47,0.009489884427744143,0.0013,0.008189884427744144,2.0,0.007670172109757772
2025-12-16 04:48:00,0.973321795463562,2025-12-16 04:50:00,2025-12-16 06:02:00,vdv30_zero,SOL,2025-12-16 04:00:00,2025-12-16 06:00:00,126.06,127.26,0.009519276534983363,0.0013,0.008219276534983364,2.0,0.007670172109757772
2025-12-16 07:16:00,0.913804829120636,2025-12-16 07:19:00,2025-12-16 08:19:00,vdv30_zero,ETH,2025-12-16 07:00:00,2025-12-16 08:00:00,2922.62,2929.54,0.002367738535971174,0.0013,0.001067738535971174,1.0,0.0031605959648600018
2025-12-16 07:16:00,0.913804829120636,2025-12-16 07:19:00,2025-12-16 08:19:00,vdv30_zero,SOL,2025-12-16 07:00:00,2025-12-16 08:00:00,125.49,125.9,0.0032671926049885314,0.0013,0.0019671926049885315,1.0,0.0031605959648600018
2025-12-18 23:48:00,0.9419517517089844,2025-12-19 00:08:00,2025-12-19 01:08:00,vdv30_zero,ETH,2025-12-19 00:00:00,2025-12-19 01:00:00,2829.62,2819.82,-0.0034633625716526343,0.0013,-0.004763362571652634,1.0,-0.003286087067284118
2025-12-18 23:48:00,0.9419517517089844,2025-12-19 00:08:00,2025-12-19 01:08:00,vdv30_zero,SOL,2025-12-19 00:00:00,2025-12-19 01:00:00,118.36,118.31,-0.0004224400135180564,0.0013,-0.0017224400135180565,1.0,-0.003286087067284118
2025-12-24 02:02:00,0.9487597346305847,2025-12-24 02:06:00,2025-12-24 03:08:00,vdv30_zero,ETH,2025-12-24 02:00:00,2025-12-24 03:00:00,2933.96,2944.47,0.0035821892595671936,0.0013,0.0022821892595671937,1.0,0.002425944401900668
2025-12-24 02:02:00,0.9487597346305847,2025-12-24 02:06:00,2025-12-24 03:08:00,vdv30_zero,SOL,2025-12-24 02:00:00,2025-12-24 03:00:00,122.24,122.66,0.0034358638743455638,0.0013,0.002135863874345564,1.0,0.002425944401900668
2025-12-24 06:01:00,0.8920555114746094,2025-12-24 08:27:00,2025-12-24 09:27:00,vdv30_zero,ETH,2025-12-24 08:00:00,2025-12-24 09:00:00,2921.89,2918.01,-0.0013279076214366915,0.0013,-0.0026279076214366917,1.0,0.00013947885627344566
2025-12-24 06:01:00,0.8920555114746094,2025-12-24 08:27:00,2025-12-24 09:27:00,vdv30_zero,SOL,2025-12-24 08:00:00,2025-12-24 09:00:00,121.32,121.34,0.0001648532805803679,0.0013,-0.001135146719419632,1.0,0.00013947885627344566
2025-12-24 08:37:00,0.9632459282875061,2025-12-24 08:52:00,2025-12-24 09:52:00,vdv30_zero,ETH,2025-12-24 08:00:00,2025-12-24 09:00:00,2921.89,2918.01,-0.0013279076214366915,0.0013,-0.0026279076214366917,1.0,0.00013947885627344566
2025-12-24 08:37:00,0.9632459282875061,2025-12-24 08:52:00,2025-12-24 09:52:00,vdv30_zero,SOL,2025-12-24 08:00:00,2025-12-24 09:00:00,121.32,121.34,0.0001648532805803679,0.0013,-0.001135146719419632,1.0,0.00013947885627344566
2025-12-24 14:34:00,0.9439546465873718,2025-12-24 14:39:00,2025-12-24 15:39:00,vdv30_zero,ETH,2025-12-24 14:00:00,2025-12-24 15:00:00,2913.54,2924.2,0.0036587793543249292,0.0013,0.0023587793543249293,1.0,0.0007130534790109258
