scope,signal,description,horizon,full_ic,full_tstat,full_pval,full_n,hit_rate,is_ic,is_tstat,is_n,oos_ic,oos_tstat,oos_n,sign_consistent
PANEL,oi_roc_10d,OI rate of change (10d),1d,-0.019245201562247887,-3.7413977625491883,0.00018327018158955792,37782,0.491106876290297,-0.010430826474446308,-1.678773982842274,25902,-0.04635250240953486,-5.057220622239113,11880,True
PANEL,oi_roc_10d,OI rate of change (10d),3d,-0.009169821482195221,-1.7811460038720464,0.07489664537911865,37728,0.4976940203562341,0.011301373675941376,1.8189001259989832,25902,-0.06601928911653131,-7.194515773262014,11826,False
PANEL,oi_roc_10d,OI rate of change (10d),7d,-0.00595455989529427,-1.1549288193920093,0.24812691268123327,37620,0.4943646996278575,0.01699080088853459,2.7348054031278823,25902,-0.0732299087785652,-7.947779070037923,11718,False
PANEL,oi_roc_10d,OI rate of change (10d),14d,0.001747643318029152,0.33810965774800533,0.7352824491925475,37431,0.4983836926611632,0.006023386637123333,0.9693899248856059,25902,-0.019498793957097933,-2.0938640112678124,11529,False
PANEL,oi_roc_20d,OI rate of change (20d),1d,-0.013871905381849299,-2.686899605543556,0.0072150407999837796,37512,0.4921091917253146,-0.017795161859601994,-2.8493448890765722,25632,-0.011231581589586143,-1.2241650361375631,11880,True
PANEL,oi_roc_20d,OI rate of change (20d),3d,-0.01134846924165903,-2.1964734131286323,0.028064181719673884,37458,0.49271183725772866,-0.013332988282244605,-2.1347174780995046,25632,-0.016646820238744402,-1.8103964268609478,11826,True
PANEL,oi_roc_20d,OI rate of change (20d),7d,-0.007313887973003663,-1.4134927822386028,0.15751921658749024,37350,0.4897991967871486,-0.0157506935384821,-2.521900002684259,25632,-0.0018142333167127178,-0.19637379554973475,11718,True
PANEL,oi_roc_20d,OI rate of change (20d),14d,0.01901096498871667,3.6653433718527,0.00024735068195671074,37161,0.5063372890934044,0.004796457079039641,0.7678915019425714,25632,0.028271956857053027,3.036600449451698,11529,True
PANEL,oi_zscore_20d,OI z-score (20d rolling),1d,-0.019813860246318017,-3.8395837236699166,0.00012344528192395233,37539,0.4943658595061136,-0.01036208683645046,-1.6598677290248236,25659,-0.046524121542404026,-5.075985413054961,11880,True
PANEL,oi_zscore_20d,OI z-score (20d rolling),3d,-0.01020810071013937,-1.9764450598269077,0.048111711244392855,37485,0.4992930505535548,0.004808218920493164,0.770179917995445,25659,-0.05327244780304794,-5.800988346004532,11826,False
PANEL,oi_zscore_20d,OI z-score (20d rolling),7d,-0.008530466010082964,-1.6492221524848878,0.09911053522431568,37377,0.4965353024587313,0.00218251377039567,0.3495915799866832,25659,-0.05115292557807828,-5.54407498579421,11718,False
PANEL,oi_zscore_20d,OI z-score (20d rolling),14d,0.006842576035286441,1.3195307998342305,0.18699984415403575,37188,0.5067225986877487,0.007485854186179454,1.1991029442995176,25659,-0.016894627824098497,-1.8141315005093441,11529,False
PANEL,toptrader_ls_raw,Top trader L/S ratio (raw),1d,-0.031451807370417646,-5.635999290643967,1.7550488848855602e-08,32081,0.48832642373990837,-0.017440595331843202,-2.4790900408670558,20201,-0.02024379329759247,-2.206747088672898,11880,True
PANEL,toptrader_ls_raw,Top trader L/S ratio (raw),3d,-0.05307483257752103,-9.511428674973724,2.007265670823694e-21,32027,0.4879632809816717,-0.0183831715171724,-2.613116481783783,20201,-0.046565351691110854,-5.068931897759465,11826,True
PANEL,toptrader_ls_raw,Top trader L/S ratio (raw),7d,-0.09566947327121975,-17.170424733747716,8.738961132011016e-66,31919,0.4749835521162944,-0.03648443608280251,-5.188738847296175,20201,-0.08904823981958927,-9.677067546949853,11718,True
PANEL,toptrader_ls_raw,Top trader L/S ratio (raw),14d,-0.13423071847165663,-24.128008343669386,1.7938091456034077e-127,31730,0.4624015127639458,-0.06102094319547561,-8.688682341946622,20201,-0.10690434367459764,-11.543817805648182,11529,True
PANEL,toptrader_ls_zscore,Top trader L/S z-score (20d),1d,-0.007718850042076818,-1.3548249861560422,0.17548325909892465,30808,0.49613736691768373,-0.008989657103898261,-1.2367732793606614,18928,-0.013687339245942126,-1.4918713606002059,11880,True
PANEL,toptrader_ls_zscore,Top trader L/S z-score (20d),3d,-0.009643965515718878,-1.6912683775373614,0.09079568940904532,30754,0.4945372959615009,-0.015291372245277334,-2.103907584220578,18928,-0.01660212710639217,-1.8055345599071964,11826,True
PANEL,toptrader_ls_zscore,Top trader L/S z-score (20d),7d,-0.028617966492684336,-5.011750144085804,5.423726660575017e-07,30646,0.48854662925014686,-0.03605560897729883,-4.963462323712759,18928,-0.04379983044646536,-4.745468464041994,11718,True
PANEL,toptrader_ls_zscore,Top trader L/S z-score (20d),14d,-0.011741717554551266,-2.0492307819865436,0.040448101980330595,30457,0.4961092688052008,-0.0150462211444691,-2.070170062444175,18928,-0.03707764547352165,-3.9835385382407384,11529,True
PANEL,toptrader_ls_roc_5d,Top trader L/S rate of change (5d),1d,-0.004394114268861812,-0.782443731602797,0.4339596848966596,31709,0.49774511968210916,-0.010047926156303713,-1.4149036354914601,19829,0.0017762964023628502,0.19359216728231718,11880,False
PANEL,toptrader_ls_roc_5d,Top trader L/S rate of change (5d),3d,-0.002766198451803944,-0.49214427155298046,0.6226207703894276,31655,0.4993523929868899,-0.023138667063887407,-3.258990779866421,19829,0.02220724650170317,2.4153720638473937,11826,False
PANEL,toptrader_ls_roc_5d,Top trader L/S rate of change (5d),7d,-0.028403050725600527,-5.046676955970843,4.520559878359475e-07,31547,0.4912352997115415,-0.033484958670911086,-4.717608332453404,19829,-0.03054611380102551,-3.307869395644577,11718,True
PANEL,toptrader_ls_roc_5d,Top trader L/S rate of change (5d),14d,-0.017541229842434346,-3.106613265447765,0.0018941270300878031,31358,0.4908157407997959,-0.023050807047027486,-3.2466094488087323,19829,-0.02188439346976194,-2.3501559598540904,11529,True
PANEL,ls_divergence_sum,Top trader - general L/S (sum-based),1d,-0.0041731690896107355,-0.7474466064106371,0.4547995000207586,32081,0.49633739596645987,0.023123131513348615,3.2872120405416334,20201,-0.016141461352600247,-1.7594263645703954,11880,False
PANEL,ls_divergence_sum,Top trader - general L/S (sum-based),3d,-0.0038128431213048718,-0.6823334508602142,0.49503306094643207,32027,0.49595653667218287,0.04676802574207247,6.6541018914434265,20201,-0.021974359244274076,-2.390029769933574,11826,False
PANEL,ls_divergence_sum,Top trader - general L/S (sum-based),7d,-0.012985106107341396,-2.3200276003765734,0.02034565858622827,31919,0.5003289576741126,0.05693503011870883,8.104935007947962,20201,-0.017526879042655565,-1.897409134526901,11718,False
PANEL,ls_divergence_sum,Top trader - general L/S (sum-based),14d,-0.0028765223963682163,-0.5123785082601449,0.6083896960223631,31730,0.5127639457926253,0.0902696273550904,12.881999564245584,20201,-0.005791889188715791,-0.6218500526021001,11529,False
PANEL,ls_divergence_count,Top trader - general L/S (count-based),1d,-0.026283746894488123,-4.709206686592151,2.497221765481799e-06,32081,0.48564570929833856,0.013613129694731598,1.9349206591466535,20201,-0.043832360131647694,-4.781719728301701,11880,False
PANEL,ls_divergence_count,Top trader - general L/S (count-based),3d,-0.0455342788114827,-8.157061294697263,3.5569496453399857e-16,32027,0.4826240359696506,0.02943195843485113,4.184776606606127,20201,-0.07895412115064622,-8.612215595994133,11826,False
