signal,description,horizon,period,IC,t_stat,p_value,n_obs
cum_funding_30d,Cumulative funding (30d),14d,OOS,-0.05983664584603636,-1.545812938918103,0.12262548263087028,667
fr_pctrank_60d,Funding percentile rank (60d),1d,IS,-0.012796776945296087,-0.5048251218288432,0.6137531552716605,1558
fr_pctrank_60d,Funding percentile rank (60d),1d,OOS,-0.05261672916007512,-1.3719576463889307,0.17053039406355452,680
fr_pctrank_60d,Funding percentile rank (60d),3d,IS,-0.0020214429836145206,-0.07973833809599935,0.9364556206819453,1558
fr_pctrank_60d,Funding percentile rank (60d),3d,OOS,-0.09795306327491804,-2.5590861995052294,0.010711347595344672,678
fr_pctrank_60d,Funding percentile rank (60d),7d,IS,0.007940959494389086,0.313250281952109,0.7541325023191039,1558
fr_pctrank_60d,Funding percentile rank (60d),7d,OOS,-0.07946503712571298,-2.066504202681717,0.03916345160551247,674
fr_pctrank_60d,Funding percentile rank (60d),14d,IS,0.025244422069787907,0.9961131121551222,0.3193500673988816,1558
fr_pctrank_60d,Funding percentile rank (60d),14d,OOS,-0.055004934885461695,-1.420595588612754,0.15590305135828741,667
extreme_long,Extreme long flag,1d,IS,0.03957134980439788,1.576651808975556,0.11507521858245667,1587
extreme_long,Extreme long flag,1d,OOS,0.018596179412112883,0.484299121034513,0.6283300017036155,680
extreme_long,Extreme long flag,3d,IS,0.07059043459172265,2.8173787887285044,0.004901798000587054,1587
extreme_long,Extreme long flag,3d,OOS,-0.06253130029889464,-1.6290017587992947,0.10377853238355784,678
extreme_long,Extreme long flag,7d,IS,0.05650626970090579,2.253231026171055,0.024380801584536618,1587
extreme_long,Extreme long flag,7d,OOS,-0.021114187949944834,-0.5474643544977689,0.584241525539459,674
extreme_long,Extreme long flag,14d,IS,0.07343466613058144,2.9315001846616062,0.0034216444985028806,1587
extreme_long,Extreme long flag,14d,OOS,-0.015824554295796996,-0.4081282843205099,0.6833108673634847,667
extreme_short,Extreme short flag,1d,IS,0.01668975699426724,0.6645461418274073,0.5064374944692571,1587
extreme_short,Extreme short flag,1d,OOS,0.047595340270188094,1.2407141869229847,0.21514049871629035,680
extreme_short,Extreme short flag,3d,IS,0.016037751242228216,0.6385780196965366,0.5231897418658155,1587
extreme_short,Extreme short flag,3d,OOS,0.05709134254042243,1.486799937475343,0.1375339052003206,678
extreme_short,Extreme short flag,7d,IS,0.03901697835677435,1.5545299240875556,0.12025770274635562,1587
extreme_short,Extreme short flag,7d,OOS,0.05120322876910649,1.3290828129023324,0.18427171411533322,674
extreme_short,Extreme short flag,14d,IS,0.010813753936257003,0.43054297803934477,0.6668592470263555,1587
extreme_short,Extreme short flag,14d,OOS,-0.010134448201972079,-0.26135645671852037,0.7938985552583253,667
fr_cross_rank,Funding cross-sectional rank,1d,IS,-0.0400844978484741,-1.597129995964689,0.11043606587085543,1587
fr_cross_rank,Funding cross-sectional rank,1d,OOS,-0.018903957420736348,-0.49231740627863246,0.6226543514936486,680
fr_cross_rank,Funding cross-sectional rank,3d,IS,-0.03215851722463931,-1.2809593045373413,0.20039535244622061,1587
