indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
ichimoku_span_b,-0.14721523780051193,0.0375039012908199,0.2634796643684105,0.04543379278857157,-0.010423717793317347,0,0.45679224098571447,-1.0
ema_50,-0.18809909692994917,0.00764632741956432,0.2937682009460301,0.04494739334658662,-0.00894466567237695,0,0.4561842416832333,-1.0
rsi_7,-0.29521532802861283,2.197893627657459e-05,0.2957233654107432,0.044303988880523455,-0.030308722869280196,0,0.45537998610065433,-1.0
realized_vol_30,0.06956333230233416,0.3276817706069172,0.27329561817950127,0.06961197397253945,0.003209279671072024,0,0.4541970846034636,1.0
bb_lower_20,-0.14291516787765857,0.043504669112455915,0.3367689383686312,0.04325786771109874,-0.025304859102517837,0,0.4540723346388734,-1.0
hurst_50,-0.14772531673037664,0.03684082991219068,0.31049458740863084,0.029807205501695692,0.004007373333899561,0,0.4532885002127179,-1.0
realized_vol_10,0.06468628855214364,0.36281103975792295,0.3126110435596382,0.05989990094704165,0.006858868395183156,0,0.44933978259275015,1.0
skewness_20,-0.0556497480535405,0.4338150181863589,0.27917576529666877,0.0691035000006898,0.004086119416026387,0,0.43619847474527856,-1.0
lower_low,0.1428889956464909,0.0435435228263809,0.05084640695997046,0.014046814719799077,-0.04629749026001579,0,0.4175585183997489,1.0
atr_pct_14,0.07850193836696391,0.2691888641210241,0.34491988548361296,0.037596299919061174,-0.005226040931997479,0,0.4147482824492723,1.0
higher_high,-0.09875504798627321,0.16414766779134585,0.12467549604672232,0.011869006840828228,-0.04059056751509604,0,0.4129688305304451,-1.0
upper_shadow,-0.048838114157997596,0.4922364993829052,0.36389395165718075,0.03903593442706808,0.009475083043826322,0,0.40995242144613675,-1.0
body_ratio,0.039211774794212235,0.581445552908389,0.30813748295651205,0.03087129465667859,0.011807624623461296,0,0.39463727900601175,1.0
